"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5950","Проверка названий элементов навигации хедера","firefox","Sat Sep 20 17:11:21 EEST 2025","passed","Sat Sep 20 17:11:26 EEST 2025","Тесты хедера главной страницы","redmine_test.spec.ts","",""
"","5979","Проверка отображения элементов навигации хедера","firefox","Sat Sep 20 17:11:20 EEST 2025","passed","Sat Sep 20 17:11:26 EEST 2025","Тесты хедера главной страницы","redmine_test.spec.ts","",""
"","3631","Проверка отображения элементов навигации хедера","webkit","Sat Sep 20 17:11:31 EEST 2025","passed","Sat Sep 20 17:11:35 EEST 2025","Тесты хедера главной страницы","redmine_test.spec.ts","",""
"","3839","Проверка названий элементов навигации хедера","webkit","Sat Sep 20 17:11:31 EEST 2025","passed","Sat Sep 20 17:11:35 EEST 2025","Тесты хедера главной страницы","redmine_test.spec.ts","",""
"","3487","Проверка отображения заголовка страницы и ccылки Multiple projects support","webkit","Sat Sep 20 17:11:33 EEST 2025","passed","Sat Sep 20 17:11:37 EEST 2025","Тесты хедера главной страницы > Тесты других элементов главной страницы","redmine_test.spec.ts","",""
"","2441","Проверка названий и ссылок заголовка страницы и ccылки Multiple projects support","webkit","Sat Sep 20 17:11:35 EEST 2025","passed","Sat Sep 20 17:11:37 EEST 2025","Тесты хедера главной страницы > Тесты других элементов главной страницы","redmine_test.spec.ts","",""
"","3675","Проверка названий элементов навигации хедера","chromium","Sat Sep 20 17:11:15 EEST 2025","passed","Sat Sep 20 17:11:19 EEST 2025","Тесты хедера главной страницы","redmine_test.spec.ts","",""
"","3454","Проверка атрибутов href элементов навигации хедера","chromium","Sat Sep 20 17:11:16 EEST 2025","passed","Sat Sep 20 17:11:19 EEST 2025","Тесты хедера главной страницы","redmine_test.spec.ts","",""
"","3498","Проверка атрибутов href элементов навигации хедера","webkit","Sat Sep 20 17:11:33 EEST 2025","passed","Sat Sep 20 17:11:37 EEST 2025","Тесты хедера главной страницы","redmine_test.spec.ts","",""
"","3158","Проверка отображения заголовка страницы и ccылки Multiple projects support","chromium","Sat Sep 20 17:11:16 EEST 2025","passed","Sat Sep 20 17:11:19 EEST 2025","Тесты хедера главной страницы > Тесты других элементов главной страницы","redmine_test.spec.ts","",""
"","5703","Проверка отображения заголовка страницы и ccылки Multiple projects support","firefox","Sat Sep 20 17:11:24 EEST 2025","passed","Sat Sep 20 17:11:30 EEST 2025","Тесты хедера главной страницы > Тесты других элементов главной страницы","redmine_test.spec.ts","",""
"","3715","Проверка названий и ссылок заголовка страницы и ccылки Multiple projects support","firefox","Sat Sep 20 17:11:27 EEST 2025","passed","Sat Sep 20 17:11:31 EEST 2025","Тесты хедера главной страницы > Тесты других элементов главной страницы","redmine_test.spec.ts","",""
"","5161","Проверка атрибутов href элементов навигации хедера","firefox","Sat Sep 20 17:11:21 EEST 2025","passed","Sat Sep 20 17:11:26 EEST 2025","Тесты хедера главной страницы","redmine_test.spec.ts","",""
"","3669","Проверка отображения элементов навигации хедера","chromium","Sat Sep 20 17:11:15 EEST 2025","passed","Sat Sep 20 17:11:19 EEST 2025","Тесты хедера главной страницы","redmine_test.spec.ts","",""
"","2497","Проверка названий и ссылок заголовка страницы и ccылки Multiple projects support","chromium","Sat Sep 20 17:11:19 EEST 2025","passed","Sat Sep 20 17:11:22 EEST 2025","Тесты хедера главной страницы > Тесты других элементов главной страницы","redmine_test.spec.ts","",""
