"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6657","Проверка названий элементов навигации хедера","webkit","Sat Sep 20 19:16:25 UTC 2025","passed","Sat Sep 20 19:16:32 UTC 2025","Тесты хедера главной страницы","redmine_test.spec.ts","",""
"","14093","Проверка отображения элементов навигации хедера","firefox","Sat Sep 20 19:16:02 UTC 2025","passed","Sat Sep 20 19:16:16 UTC 2025","Тесты хедера главной страницы","redmine_test.spec.ts","",""
"","17591","Проверка отображения элементов навигации хедера","chromium","Sat Sep 20 19:20:16 UTC 2025","passed","Sat Sep 20 19:20:34 UTC 2025","Тесты хедера главной страницы","redmine_test.spec.ts","",""
"","12679","Проверка отображения заголовка страницы и ccылки Multiple projects support","firefox","Sat Sep 20 19:16:04 UTC 2025","passed","Sat Sep 20 19:16:17 UTC 2025","Тесты хедера главной страницы > Тесты других элементов главной страницы","redmine_test.spec.ts","",""
"","17051","Проверка атрибутов href элементов навигации хедера","chromium","Sat Sep 20 19:20:16 UTC 2025","passed","Sat Sep 20 19:20:33 UTC 2025","Тесты хедера главной страницы","redmine_test.spec.ts","",""
"","3229","Проверка названий и ссылок заголовка страницы и ccылки Multiple projects support","webkit","Sat Sep 20 19:16:34 UTC 2025","passed","Sat Sep 20 19:16:37 UTC 2025","Тесты хедера главной страницы > Тесты других элементов главной страницы","redmine_test.spec.ts","",""
"","3735","Check names of Header navigation elements","webkit","Sun Sep 21 06:54:57 UTC 2025","passed","Sun Sep 21 06:55:01 UTC 2025","Tests for Main page Header","redmine_test.spec.ts","",""
"","5032","Проверка названий и ссылок заголовка страницы и ccылки Multiple projects support","firefox","Sat Sep 20 19:16:20 UTC 2025","passed","Sat Sep 20 19:16:25 UTC 2025","Тесты хедера главной страницы > Тесты других элементов главной страницы","redmine_test.spec.ts","",""
"","16053","Проверка отображения заголовка страницы и ccылки Multiple projects support","chromium","Sat Sep 20 19:20:16 UTC 2025","passed","Sat Sep 20 19:20:32 UTC 2025","Тесты хедера главной страницы > Тесты других элементов главной страницы","redmine_test.spec.ts","",""
"","2178","Check names of Header navigation elements","chromium","Sun Sep 21 06:54:22 UTC 2025","passed","Sun Sep 21 06:54:24 UTC 2025","Tests for Main page Header","redmine_test.spec.ts","",""
"","7739","Check displaying Header navigation elements","webkit","Sun Sep 21 06:54:48 UTC 2025","passed","Sun Sep 21 06:54:56 UTC 2025","Tests for Main page Header","redmine_test.spec.ts","",""
"","2630","Check Main page title and Multiple projects support name and href","firefox","Sun Sep 21 06:54:45 UTC 2025","passed","Sun Sep 21 06:54:47 UTC 2025","Tests for Main page Header > Tests for Main page other elements","redmine_test.spec.ts","",""
"","3011","Проверка названий и ссылок заголовка страницы и ccылки Multiple projects support","chromium","Sat Sep 20 19:20:34 UTC 2025","passed","Sat Sep 20 19:20:37 UTC 2025","Тесты хедера главной страницы > Тесты других элементов главной страницы","redmine_test.spec.ts","",""
"","3582","Check Main page title and Multiple projects support name and href","webkit","Sun Sep 21 06:55:07 UTC 2025","passed","Sun Sep 21 06:55:11 UTC 2025","Tests for Main page Header > Tests for Main page other elements","redmine_test.spec.ts","",""
"","3671","Check displaying Header navigation elements","firefox","Sun Sep 21 06:54:32 UTC 2025","passed","Sun Sep 21 06:54:36 UTC 2025","Tests for Main page Header","redmine_test.spec.ts","",""
"","2430","Check Main page title and Multiple projects support name and href","chromium","Sun Sep 21 06:54:29 UTC 2025","passed","Sun Sep 21 06:54:32 UTC 2025","Tests for Main page Header > Tests for Main page other elements","redmine_test.spec.ts","",""
"","6277","Проверка отображения элементов навигации хедера","webkit","Sat Sep 20 19:16:26 UTC 2025","passed","Sat Sep 20 19:16:32 UTC 2025","Тесты хедера главной страницы","redmine_test.spec.ts","",""
"","2191","Check href attributes of Header navigation elements","chromium","Sun Sep 21 06:54:24 UTC 2025","passed","Sun Sep 21 06:54:27 UTC 2025","Tests for Main page Header","redmine_test.spec.ts","",""
"","2901","Check href attributes of Header navigation elements","firefox","Sun Sep 21 06:54:39 UTC 2025","passed","Sun Sep 21 06:54:42 UTC 2025","Tests for Main page Header","redmine_test.spec.ts","",""
"","2412","Check Main page title and Multiple projects support link visibility","firefox","Sun Sep 21 06:54:42 UTC 2025","passed","Sun Sep 21 06:54:45 UTC 2025","Tests for Main page Header > Tests for Main page other elements","redmine_test.spec.ts","",""
"","12204","Проверка атрибутов href элементов навигации хедера","firefox","Sat Sep 20 19:16:02 UTC 2025","passed","Sat Sep 20 19:16:15 UTC 2025","Тесты хедера главной страницы","redmine_test.spec.ts","",""
"","5719","Проверка отображения заголовка страницы и ccылки Multiple projects support","webkit","Sat Sep 20 19:16:27 UTC 2025","passed","Sat Sep 20 19:16:33 UTC 2025","Тесты хедера главной страницы > Тесты других элементов главной страницы","redmine_test.spec.ts","",""
"","3502","Check href attributes of Header navigation elements","webkit","Sun Sep 21 06:55:01 UTC 2025","passed","Sun Sep 21 06:55:04 UTC 2025","Tests for Main page Header","redmine_test.spec.ts","",""
"","13784","Проверка названий элементов навигации хедера","firefox","Sat Sep 20 19:16:02 UTC 2025","passed","Sat Sep 20 19:16:16 UTC 2025","Тесты хедера главной страницы","redmine_test.spec.ts","",""
"","2608","Check displaying Header navigation elements","chromium","Sun Sep 21 06:54:19 UTC 2025","passed","Sun Sep 21 06:54:21 UTC 2025","Tests for Main page Header","redmine_test.spec.ts","",""
"","2819","Check names of Header navigation elements","firefox","Sun Sep 21 06:54:37 UTC 2025","passed","Sun Sep 21 06:54:39 UTC 2025","Tests for Main page Header","redmine_test.spec.ts","",""
"","3364","Check Main page title and Multiple projects support link visibility","webkit","Sun Sep 21 06:55:04 UTC 2025","passed","Sun Sep 21 06:55:07 UTC 2025","Tests for Main page Header > Tests for Main page other elements","redmine_test.spec.ts","",""
"","2574","Check Main page title and Multiple projects support link visibility","chromium","Sun Sep 21 06:54:27 UTC 2025","passed","Sun Sep 21 06:54:29 UTC 2025","Tests for Main page Header > Tests for Main page other elements","redmine_test.spec.ts","",""
"","17027","Проверка названий элементов навигации хедера","chromium","Sat Sep 20 19:20:16 UTC 2025","passed","Sat Sep 20 19:20:33 UTC 2025","Тесты хедера главной страницы","redmine_test.spec.ts","",""
"","6369","Проверка атрибутов href элементов навигации хедера","webkit","Sat Sep 20 19:16:26 UTC 2025","passed","Sat Sep 20 19:16:32 UTC 2025","Тесты хедера главной страницы","redmine_test.spec.ts","",""
